Año;Cód;localidad;Vacunados sector_publico;Censo;Proporción;Vacunados sector_privado;Proporción2
2013;1;Usaquén;11070;79724;13,9;;13,9
2013;2;Chapinero;1776;12307;14,4;;14,4
2013;3;Santa Fe;6029;10129;59,5;;59,5
2013;4;San Cristobal;17523;53039;33;;33
2013;5;Usme;17984;11139;161,5;;161,5
2013;6;Tunjuelito;5879;13877;42,4;;42,4
2013;7;Bosa;21789;47961;45,4;;45,4
2013;8;Kennedy;19962;95480;20,9;;20,9
2013;9;Fontibón;7949;38926;20,4;;20,4
2013;10;Engativá;14717;104293;14,1;;14,1
2013;11;Suba;29608;99305;29,8;;29,8
2013;12;Barrios Unidos;3361;23859;14,1;;14,1
2013;13;Teusaquillo;1571;21822;7,2;;7,2
2013;14;Los Mártires;3213;8677;37;;37
